Rank,Feature,Importance,Method,NormalizedImportance
1,active_purchase_days,0.39723320453258565,mean_abs_shap,0.16264356522394757
2,month_sin,0.32184730885818974,mean_abs_shap,0.1317774878160643
3,invoices_90d,0.2442409453816054,mean_abs_shap,0.10000225982436248
4,obs_year,0.24215772418703183,mean_abs_shap,0.09914930363044555
5,recency_days,0.23489254363408035,mean_abs_shap,0.09617464075321172
6,customer_tenure_days,0.1843054578512456,mean_abs_shap,0.07546221316123536
7,total_revenue,0.08658150259348552,mean_abs_shap,0.035450018033665626
8,revenue_90d,0.07936537375852734,mean_abs_shap,0.03249543894148238
9,raw_invoices_total,0.07066560483418143,mean_abs_shap,0.028933396749805385
10,obs_month,0.06968390091762469,mean_abs_shap,0.028531446904824582
11,total_items,0.06135678197894214,mean_abs_shap,0.025121982900361974
12,month_cos,0.057426148065880755,mean_abs_shap,0.023512620173591185
13,avg_unit_price,0.03937598032427163,mean_abs_shap,0.016122141228509003
14,avg_order_value,0.039183622871643134,mean_abs_shap,0.01604338219845836
15,total_lines,0.03875744916848107,mean_abs_shap,0.01586888920619068
16,revenue_per_active_day,0.03215381814503406,mean_abs_shap,0.013165091837738865
17,unique_products_90d,0.030704466355718215,mean_abs_shap,0.01257166777452287
18,total_invoices,0.02703755049198658,mean_abs_shap,0.011070282032725849
19,unique_products_60d,0.024373170756043252,mean_abs_shap,0.00997937569755639
20,unique_products,0.02313829645482365,mean_abs_shap,0.00947376751409621
21,raw_lines_total,0.018229759658905442,mean_abs_shap,0.007464011241428977
22,items_90d,0.01710877432293451,mean_abs_shap,0.007005033871144412
23,invoices_60d,0.016136607453712204,mean_abs_shap,0.006606988884474752
24,avg_items_per_invoice,0.01576988630067398,mean_abs_shap,0.006456838204489789
25,revenue_60d,0.012092242562986731,mean_abs_shap,0.004951060031124849
26,revenue_30d,0.01139058751461466,mean_abs_shap,0.004663773678114918
27,cancelled_line_rate,0.011265404482572327,mean_abs_shap,0.004612518610802843
28,unique_products_30d,0.009180974419301746,mean_abs_shap,0.0037590674564633633
29,items_30d,0.008092792914872913,mean_abs_shap,0.0033135213201595792
30,items_60d,0.007487346224603131,mean_abs_shap,0.0030656266146442484
31,obs_quarter,0.004628414873923828,mean_abs_shap,0.0018950628694705892
32,cancelled_lines,0.0033269096935764093,mean_abs_shap,0.0013621732714365544
33,invoices_30d,0.0031637093153884144,mean_abs_shap,0.0012953523434488623
