Raw feature,Mean absolute SHAP,Normalized importance
Month,0.08520128008601045,1.0
ExitRates,0.0648876136175463,0.7615802667758329
ProductRelated_Duration,0.054911275380474266,0.6444888542172311
BounceRates,0.043659446163088894,0.5124271151679272
ProductRelated,0.02831465943877371,0.33232669051674035
VisitorType,0.026714243112150853,0.31354274355013095
Administrative_Duration,0.024271013813946432,0.2848667741780982
Administrative,0.023935136259421626,0.2809246085887345
TrafficType,0.013102965136499492,0.15378836002548418
Informational_Duration,0.01141544655959477,0.133982101537335
Region,0.010882131355005056,0.12772262745371402
OperatingSystems,0.00838134795676649,0.09837115062479745
Browser,0.006410830604257074,0.07524336016765662
SpecialDay,0.005673472605647006,0.06658905359074009
Informational,0.0056516757923789985,0.06633322629276987
Weekend,0.004217439315094016,0.04949971773706361
