Feature set,Seed,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
All features,7,Logistic regression,0.8572587185725872,0.5269607843137255,0.7517482517482518,0.6195965417867435,0.9023254487757206,0.6335583275074166,0.11892976517674497
All features,7,Random forest,0.8859151121924844,0.6102941176470589,0.7255244755244755,0.6629392971246006,0.9221974859167056,0.7069202037280641,0.08089628657558036
All features,7,Gradient boosting,0.8967288456339552,0.6995798319327731,0.5821678321678322,0.6354961832061069,0.9199905067749647,0.7150600738854301,0.0740268844215141
All features,7,XGBoost,0.8975398756420654,0.7040169133192389,0.5821678321678322,0.6373205741626794,0.9213739570311364,0.7146831199666754,0.07366100881242423
All features,7,LightGBM,0.8529332251959989,0.5150214592274678,0.8391608391608392,0.6382978723404256,0.9230914592283317,0.7160017029010315,0.10631819709601714
All features,17,Logistic regression,0.8429305217626385,0.4949944382647386,0.777972027972028,0.6050305914343984,0.900588937765145,0.6300412883547539,0.12621730180210497
All features,17,Random forest,0.8905109489051095,0.6151724137931035,0.7797202797202797,0.6877409406322282,0.9325170352512854,0.7500818919282102,0.07942049054111261
All features,17,Gradient boosting,0.9032170856988375,0.7123015873015873,0.6276223776223776,0.6672862453531598,0.9320803916262822,0.7450564385686782,0.06912227566567244
All features,17,XGBoost,0.9048391457150581,0.7191235059760956,0.6311188811188811,0.6722532588454376,0.932891900232802,0.7393181211874598,0.0689038599522805
All features,17,LightGBM,0.8540145985401459,0.5166666666666667,0.8671328671328671,0.6475195822454308,0.9336438665268214,0.7337250838584983,0.10830850740960682
All features,27,Logistic regression,0.8429305217626385,0.49491525423728816,0.7657342657342657,0.6012354152367879,0.8987903685697097,0.6283522385625303,0.1253326413956471
All features,27,Random forest,0.8929440389294404,0.6242937853107344,0.7727272727272727,0.690625,0.9318897444097316,0.7439427352105883,0.07940996537987609
All features,27,Gradient boosting,0.902676399026764,0.7094861660079052,0.6276223776223776,0.6660482374768089,0.929662358747744,0.7432907395070114,0.07004317876792537
