Simulation,Strategy,Aggregate rank,Aggregate score,Top ranked
0,Prioritize high-value landing-page optimization,1,1.0,1
0,Schedule seasonal merchandising and promotion windows,2,0.6574269477126587,0
0,Reduce exit friction in product and checkout journeys,3,0.2214329103546846,0
0,Personalize journeys by visitor recency type,4,0.1735014773161424,0
0,Improve first-screen relevance and loading quality,5,0.06981181640040651,0
0,Personalize product discovery depth and recommendations,6,0.06177309267413061,0
0,Streamline account and administrative navigation,7,0.01961677071511083,0
0,Trigger product-page assistance for long comparison sessions,8,0.008161850443727645,0
1,Prioritize high-value landing-page optimization,1,1.0,1
1,Schedule seasonal merchandising and promotion windows,2,0.6982369147586246,0
1,Reduce exit friction in product and checkout journeys,3,0.22604365398355863,0
1,Personalize journeys by visitor recency type,4,0.19204585448974595,0
1,Improve first-screen relevance and loading quality,5,0.09780008431349645,0
1,Personalize product discovery depth and recommendations,6,0.052487496815310654,0
1,Streamline account and administrative navigation,7,0.04743813466709748,0
1,Trigger product-page assistance for long comparison sessions,8,0.0,0
2,Prioritize high-value landing-page optimization,1,1.0,1
2,Schedule seasonal merchandising and promotion windows,2,0.7128081502926445,0
2,Reduce exit friction in product and checkout journeys,3,0.23374022930405722,0
2,Personalize journeys by visitor recency type,4,0.22116777618261,0
2,Improve first-screen relevance and loading quality,5,0.12867683090591878,0
2,Streamline account and administrative navigation,6,0.07265845780592096,0
2,Personalize product discovery depth and recommendations,7,0.0640281041130145,0
2,Trigger product-page assistance for long comparison sessions,8,0.0,0
3,Prioritize high-value landing-page optimization,1,1.0,1
3,Schedule seasonal merchandising and promotion windows,2,0.682590124743457,0
3,Reduce exit friction in product and checkout journeys,3,0.2093837169643038,0
3,Personalize journeys by visitor recency type,4,0.20422058793624362,0
3,Improve first-screen relevance and loading quality,5,0.07225055799410647,0
3,Personalize product discovery depth and recommendations,6,0.06431170087876202,0
3,Streamline account and administrative navigation,7,0.01874271756921554,0
3,Trigger product-page assistance for long comparison sessions,8,0.009952641583517394,0
4,Prioritize high-value landing-page optimization,1,1.0,1
4,Schedule seasonal merchandising and promotion windows,2,0.7092241641715903,0
4,Personalize journeys by visitor recency type,3,0.28214671125169644,0
4,Reduce exit friction in product and checkout journeys,4,0.24123457345076008,0
4,Improve first-screen relevance and loading quality,5,0.10784140549140653,0
4,Personalize product discovery depth and recommendations,6,0.10485868295328445,0
4,Streamline account and administrative navigation,7,0.019636376390998474,0
4,Trigger product-page assistance for long comparison sessions,8,0.017236677929995423,0
5,Prioritize high-value landing-page optimization,1,1.0,1
5,Schedule seasonal merchandising and promotion windows,2,0.6607886749376192,0
5,Personalize journeys by visitor recency type,3,0.23330082595976767,0
5,Reduce exit friction in product and checkout journeys,4,0.21975779331486847,0
5,Personalize product discovery depth and recommendations,5,0.09628701323454081,0
5,Improve first-screen relevance and loading quality,6,0.07731982588412689,0
5,Trigger product-page assistance for long comparison sessions,7,0.02442742222175788,0
5,Streamline account and administrative navigation,8,0.011678618141890777,0
6,Prioritize high-value landing-page optimization,1,1.0,1
6,Schedule seasonal merchandising and promotion windows,2,0.6911267500282672,0
6,Reduce exit friction in product and checkout journeys,3,0.2242197793639815,0
6,Personalize journeys by visitor recency type,4,0.20103257877523084,0
6,Improve first-screen relevance and loading quality,5,0.09876942861969197,0
6,Personalize product discovery depth and recommendations,6,0.061006786559189306,0
6,Streamline account and administrative navigation,7,0.045095009633498946,0
6,Trigger product-page assistance for long comparison sessions,8,0.00258584593741292,0
7,Prioritize high-value landing-page optimization,1,1.0,1
7,Schedule seasonal merchandising and promotion windows,2,0.6917577596316052,0
7,Reduce exit friction in product and checkout journeys,3,0.23190337088564886,0
7,Personalize journeys by visitor recency type,4,0.22917191989961241,0
7,Improve first-screen relevance and loading quality,5,0.1005257778783936,0
7,Personalize product discovery depth and recommendations,6,0.07977347968210464,0
7,Streamline account and administrative navigation,7,0.03330584888433,0
7,Trigger product-page assistance for long comparison sessions,8,0.009064090385652625,0
8,Prioritize high-value landing-page optimization,1,1.0,1
8,Schedule seasonal merchandising and promotion windows,2,0.6658841193807725,0
8,Reduce exit friction in product and checkout journeys,3,0.21011988314948246,0
8,Personalize journeys by visitor recency type,4,0.19560130904936335,0
8,Personalize product discovery depth and recommendations,5,0.07036129299746359,0
8,Improve first-screen relevance and loading quality,6,0.053162192270407777,0
8,Trigger product-page assistance for long comparison sessions,7,0.01998738147477945,0
8,Streamline account and administrative navigation,8,0.0,0
9,Prioritize high-value landing-page optimization,1,1.0,1
9,Schedule seasonal merchandising and promotion windows,2,0.6809248132492898,0
9,Reduce exit friction in product and checkout journeys,3,0.24511087120513067,0
9,Personalize journeys by visitor recency type,4,0.20231691469199306,0
9,Improve first-screen relevance and loading quality,5,0.11655929849952369,0
9,Personalize product discovery depth and recommendations,6,0.07121431035645664,0
9,Streamline account and administrative navigation,7,0.05498052026026368,0
9,Trigger product-page assistance for long comparison sessions,8,0.0003502950553072644,0
10,Prioritize high-value landing-page optimization,1,1.0,1
10,Schedule seasonal merchandising and promotion windows,2,0.6860228657518167,0
10,Reduce exit friction in product and checkout journeys,3,0.22725373788764716,0
