Simulation,Strategy,Aggregate rank,Aggregate score,Top ranked
0,Prioritize high-value landing-page optimization,1,1.0,1
0,Schedule seasonal merchandising and promotion windows,2,0.6771783456808832,0
0,Reduce exit friction in product and checkout journeys,3,0.2561583668559641,0
0,Personalize journeys by visitor recency type,4,0.21982903776048723,0
0,Improve first-screen relevance and loading quality,5,0.13037772561471347,0
0,Personalize product discovery depth and recommendations,6,0.08530712178866018,0
0,Streamline account and administrative navigation,7,0.05940537241410727,0
0,Trigger product-page assistance for long comparison sessions,8,0.0007618537545478909,0
1,Prioritize high-value landing-page optimization,1,1.0,1
1,Schedule seasonal merchandising and promotion windows,2,0.6812026233576938,0
1,Personalize journeys by visitor recency type,3,0.5852532379948113,0
1,Personalize product discovery depth and recommendations,4,0.3839420097575333,0
1,Trigger product-page assistance for long comparison sessions,5,0.29823315501967124,0
1,Reduce exit friction in product and checkout journeys,6,0.27624917011358824,0
1,Improve first-screen relevance and loading quality,7,0.10713469036355068,0
1,Streamline account and administrative navigation,8,0.0,0
2,Prioritize high-value landing-page optimization,1,1.0,1
2,Schedule seasonal merchandising and promotion windows,2,0.661483198211943,0
2,Personalize journeys by visitor recency type,3,0.6207232107523026,0
2,Personalize product discovery depth and recommendations,4,0.4174822092590353,0
2,Trigger product-page assistance for long comparison sessions,5,0.311314282925345,0
2,Reduce exit friction in product and checkout journeys,6,0.29714091989356956,0
2,Improve first-screen relevance and loading quality,7,0.12080340255219642,0
2,Streamline account and administrative navigation,8,0.0,0
3,Prioritize high-value landing-page optimization,1,1.0,1
3,Schedule seasonal merchandising and promotion windows,2,0.6765546900395109,0
3,Reduce exit friction in product and checkout journeys,3,0.3163557379728706,0
3,Improve first-screen relevance and loading quality,4,0.25276272561219154,0
3,Personalize journeys by visitor recency type,5,0.21112598265822843,0
3,Streamline account and administrative navigation,6,0.19837142986518755,0
3,Personalize product discovery depth and recommendations,7,0.10547195022772164,0
3,Trigger product-page assistance for long comparison sessions,8,0.0,0
4,Prioritize high-value landing-page optimization,1,1.0,1
4,Schedule seasonal merchandising and promotion windows,2,0.7726323208214412,0
4,Personalize journeys by visitor recency type,3,0.37524743975709507,0
4,Reduce exit friction in product and checkout journeys,4,0.35200047597248796,0
4,Improve first-screen relevance and loading quality,5,0.261359579181865,0
4,Personalize product discovery depth and recommendations,6,0.15146722779645116,0
4,Streamline account and administrative navigation,7,0.12902352154402985,0
4,Trigger product-page assistance for long comparison sessions,8,0.0,0
5,Prioritize high-value landing-page optimization,1,1.0,1
5,Schedule seasonal merchandising and promotion windows,2,0.8001465193375873,0
5,Personalize journeys by visitor recency type,3,0.3611610554158964,0
5,Reduce exit friction in product and checkout journeys,4,0.1986831667172543,0
5,Improve first-screen relevance and loading quality,5,0.14316916743299346,0
5,Personalize product discovery depth and recommendations,6,0.09218514959727496,0
5,Streamline account and administrative navigation,7,0.05503750192636781,0
5,Trigger product-page assistance for long comparison sessions,8,0.00640369815459084,0
6,Prioritize high-value landing-page optimization,1,0.9854575225890224,1
6,Schedule seasonal merchandising and promotion windows,2,0.9138621146655521,0
6,Personalize journeys by visitor recency type,3,0.6220745310144448,0
6,Reduce exit friction in product and checkout journeys,4,0.4194377438660988,0
6,Improve first-screen relevance and loading quality,5,0.29664047121217346,0
6,Personalize product discovery depth and recommendations,6,0.2413470047240931,0
6,Streamline account and administrative navigation,7,0.05523475087283225,0
6,Trigger product-page assistance for long comparison sessions,8,0.02463278258962558,0
7,Prioritize high-value landing-page optimization,1,1.0,1
7,Schedule seasonal merchandising and promotion windows,2,0.6916853107747509,0
7,Personalize journeys by visitor recency type,3,0.24171226992890849,0
7,Reduce exit friction in product and checkout journeys,4,0.20720873901020084,0
7,Personalize product discovery depth and recommendations,5,0.08197941556373271,0
7,Improve first-screen relevance and loading quality,6,0.07662682365695345,0
7,Trigger product-page assistance for long comparison sessions,7,0.01743715676254001,0
7,Streamline account and administrative navigation,8,0.012859013698337739,0
8,Prioritize high-value landing-page optimization,1,1.0,1
8,Schedule seasonal merchandising and promotion windows,2,0.729140299104242,0
8,Reduce exit friction in product and checkout journeys,3,0.3599852688318132,0
8,Improve first-screen relevance and loading quality,4,0.31183784258006514,0
8,Personalize journeys by visitor recency type,5,0.30383082280595847,0
8,Streamline account and administrative navigation,6,0.22199837590055171,0
8,Personalize product discovery depth and recommendations,7,0.14356973068358356,0
8,Trigger product-page assistance for long comparison sessions,8,0.0,0
9,Prioritize high-value landing-page optimization,1,1.0,1
9,Schedule seasonal merchandising and promotion windows,2,0.8511901253341199,0
9,Personalize journeys by visitor recency type,3,0.4535248058860148,0
9,Improve first-screen relevance and loading quality,4,0.35965748299006184,0
9,Reduce exit friction in product and checkout journeys,5,0.3229139747742475,0
9,Streamline account and administrative navigation,6,0.24819331905910116,0
9,Personalize product discovery depth and recommendations,7,0.1563818156629146,0
9,Trigger product-page assistance for long comparison sessions,8,0.0,0
10,Prioritize high-value landing-page optimization,1,1.0,1
10,Schedule seasonal merchandising and promotion windows,2,0.6469301846247776,0
10,Reduce exit friction in product and checkout journeys,3,0.21150178923775786,0
10,Personalize journeys by visitor recency type,4,0.11498986507242241,0
10,Improve first-screen relevance and loading quality,5,0.05995819647656555,0
10,Streamline account and administrative navigation,6,0.0339747745724911,0
10,Personalize product discovery depth and recommendations,7,0.03047836621050687,0
10,Trigger product-page assistance for long comparison sessions,8,0.0,0
11,Prioritize high-value landing-page optimization,1,1.0,1
11,Schedule seasonal merchandising and promotion windows,2,0.8460874794575354,0
11,Improve first-screen relevance and loading quality,3,0.5869690699043872,0
11,Personalize journeys by visitor recency type,4,0.5496831525029706,0
11,Reduce exit friction in product and checkout journeys,5,0.5417684969668556,0
11,Streamline account and administrative navigation,6,0.4103098281477166,0
11,Personalize product discovery depth and recommendations,7,0.271093098916409,0
11,Trigger product-page assistance for long comparison sessions,8,0.0,0
12,Prioritize high-value landing-page optimization,1,1.0,1
12,Schedule seasonal merchandising and promotion windows,2,0.7866102528479345,0
12,Personalize journeys by visitor recency type,3,0.3653063400018788,0
12,Reduce exit friction in product and checkout journeys,4,0.19529459211670144,0
12,Improve first-screen relevance and loading quality,5,0.12922010381824156,0
12,Personalize product discovery depth and recommendations,6,0.10277578489475318,0
12,Streamline account and administrative navigation,7,0.03856916471480002,0
12,Trigger product-page assistance for long comparison sessions,8,0.0148530766150892,0
13,Prioritize high-value landing-page optimization,1,1.0,1
13,Schedule seasonal merchandising and promotion windows,2,0.6540524229123807,0
13,Personalize journeys by visitor recency type,3,0.3334923833230931,0
13,Reduce exit friction in product and checkout journeys,4,0.254177122777167,0
13,Personalize product discovery depth and recommendations,5,0.18552807439447097,0
13,Trigger product-page assistance for long comparison sessions,6,0.09539969486771936,0
13,Improve first-screen relevance and loading quality,7,0.09149764806177724,0
13,Streamline account and administrative navigation,8,0.0,0
14,Prioritize high-value landing-page optimization,1,1.0,1
14,Schedule seasonal merchandising and promotion windows,2,0.8562238599075819,0
14,Personalize journeys by visitor recency type,3,0.6862494180327272,0
14,Reduce exit friction in product and checkout journeys,4,0.35483579357140754,0
14,Personalize product discovery depth and recommendations,5,0.3285106592322462,0
14,Improve first-screen relevance and loading quality,6,0.2159259729606333,0
14,Trigger product-page assistance for long comparison sessions,7,0.13606096513132673,0
14,Streamline account and administrative navigation,8,0.0,0
15,Prioritize high-value landing-page optimization,1,1.0,1
15,Schedule seasonal merchandising and promotion windows,2,0.7694163423677717,0
15,Personalize journeys by visitor recency type,3,0.4979894213610301,0
15,Reduce exit friction in product and checkout journeys,4,0.26289204746000533,0
15,Personalize product discovery depth and recommendations,5,0.22837618372623267,0
15,Improve first-screen relevance and loading quality,6,0.14165678328102463,0
15,Trigger product-page assistance for long comparison sessions,7,0.09631734043461855,0
15,Streamline account and administrative navigation,8,0.0,0
16,Prioritize high-value landing-page optimization,1,1.0,1
16,Schedule seasonal merchandising and promotion windows,2,0.828611335805875,0
16,Personalize journeys by visitor recency type,3,0.5315454468040638,0
16,Reduce exit friction in product and checkout journeys,4,0.2915123259103496,0
16,Improve first-screen relevance and loading quality,5,0.2157192067447942,0
16,Personalize product discovery depth and recommendations,6,0.21218600504686858,0
16,Streamline account and administrative navigation,7,0.049949736831824694,0
16,Trigger product-page assistance for long comparison sessions,8,0.04378079501198595,0
17,Schedule seasonal merchandising and promotion windows,1,1.0,1
17,Prioritize high-value landing-page optimization,2,0.7942464433968258,0
17,Personalize journeys by visitor recency type,3,0.6725503921556141,0
