Raw feature,Mean absolute SHAP,Normalized importance,Rank
PageValues,1.7763442,1.0,1.0
Month,0.82370013,0.46370524,2.0
ExitRates,0.21481302,0.120929845,3.0
BounceRates,0.105092764,0.05916239,4.0
ProductRelated,0.095266044,0.053630397,5.0
VisitorType,0.0888415,0.050013673,6.0
ProductRelated_Duration,0.0857815,0.048291035,7.0
Administrative_Duration,0.0560214,0.03153747,8.0
Administrative,0.053427596,0.030077277,9.0
Browser,0.016458979,0.009265647,10.0
TrafficType,0.010469066,0.005893602,11.0
Weekend,0.0032014581,0.0018022736,12.0
Informational_Duration,0.0031644935,0.0017814642,13.0
OperatingSystems,0.002802699,0.0015777906,14.0
SpecialDay,0.0013753421,0.0007742543,15.0
Informational,0.0013026269,0.000733319,16.0
Region,0.0012743148,0.0007173806,17.0
